Modulo 2 - Sistema de Paqueteria: Condicion de Carrera 
Trabajadores: 8 | Despachos/trabajador: 10 | Esperado: 80


 Ronda 1  SIN mutex  (registro sin proteccion)

  [TRABAJADOR 8] Despachado | Leyo: 78 | Escribio: 79 | Total ahora: 79
  [TRABAJADOR 8] Despachado | Leyo: 79 | Escribio: 80 | Total ahora: 80

 Paquetes registrados: 80 / 80  OK


 Ronda 2  SIN mutex  (registro sin proteccion)

  [TRABAJADOR 1] Despachado | Leyo: 0 | Escribio: 1 | Total ahora: 1
  [TRABAJADOR 1] Despachado | Leyo: 1 | Escribio: 2 | Total ahora: 2
  [TRABAJADOR 3] Despachado | Leyo: 0 | Escribio: 1 | Total ahora: 1
  [TRABAJADOR 3] Despachado | Leyo: 1 | Escribio: 2 | Total ahora: 2
  [TRABAJADOR 1] Despachado | Leyo: 2 | Escribio: 3 | Total ahora: 3
  [TRABAJADOR 5] Despachado | Leyo: 2 | Escribio: 3 | Total ahora: 3
  [TRABAJADOR 5] Despachado | Leyo: 3 | Escribio: 4 | Total ahora: 4
  [TRABAJADOR 3] Despachado | Leyo: 2 | Escribio: 3 | Total ahora: 3
  [TRABAJADOR 1] Despachado | Leyo: 3 | Escribio: 4 | Total ahora: 4
  [TRABAJADOR 6] Despachado | Leyo: 3 | Escribio: 4 | Total ahora: 4
  [TRABAJADOR 7] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 4] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 2] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 5] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 4] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 8] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 7] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 2] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 5] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 3] Despachado | Leyo: 3 | Escribio: 4 | Total ahora: 4
  [TRABAJADOR 1] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 2] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 6] Despachado | Leyo: 4 | Escribio: 5 | Total ahora: 5
  [TRABAJADOR 7] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 8] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 4] Despachado | Leyo: 5 | Escribio: 6 | Total ahora: 6
  [TRABAJADOR 6] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 3] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 1] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
  [TRABAJADOR 5] Despachado | Leyo: 6 | Escribio: 7 | Total ahora: 7
